col0,col1
49.91333,-6.619435
49.91333,-6.419435
49.91333,-6.219435
49.91333,-5.619435
49.91333,-5.419435
49.91333,-5.219435
49.91333,-5.019435
50.11333,-6.219435
50.11333,-5.819435
50.11333,-5.619435
50.11333,-5.419435
50.11333,-5.219435
50.11333,-5.019435
50.11333,-4.819435
50.11333,-3.819435
50.11333,-3.619435
50.31333,-5.619435
50.31333,-5.419435
50.31333,-5.219435
50.31333,-5.019435
50.31333,-4.819435
50.31333,-4.619435
50.31333,-4.419435
50.31333,-4.219435
50.31333,-4.019435
50.31333,-3.819435
50.31333,-3.619435
50.31333,-3.419435
50.51333,-5.219435
50.51333,-5.019435
50.51333,-4.819435
50.51333,-4.619435
50.51333,-4.419435
50.51333,-4.219435
50.51333,-4.019435
50.51333,-3.819435
50.51333,-3.619435
50.51333,-3.419435
50.51333,-3.219435
50.51333,-2.619435
50.51333,-2.419435
50.51333,-2.219435
50.51333,-2.019435
50.51333,-1.819435
50.51333,-1.419435
50.51333,-1.219435
50.51333,-1.019435
50.71333,-5.019435
50.71333,-4.819435
50.71333,-4.619435
50.71333,-4.419435
50.71333,-4.219435
50.71333,-4.019435
50.71333,-3.819435
50.71333,-3.619435
50.71333,-3.419435
50.71333,-3.219435
50.71333,-3.019435
50.71333,-2.819435
50.71333,-2.619435
50.71333,-2.419435
50.71333,-2.219435
50.71333,-2.019435
50.71333,-1.819435
50.71333,-1.619435
50.71333,-1.419435
50.71333,-1.219435
50.71333,-1.019435
50.71333,-0.819435
50.71333,-0.619435
50.71333,-0.419435
50.71333,-0.219435
50.71333,-0.019435
50.71333,0.180565
50.71333,0.380565
50.71333,0.580565
50.91333,-4.619435
50.91333,-4.419435
50.91333,-4.219435
50.91333,-4.019435
50.91333,-3.819435
50.91333,-3.619435
50.91333,-3.419435
50.91333,-3.219435
50.91333,-3.019435
50.91333,-2.819435
50.91333,-2.619435
50.91333,-2.419435
50.91333,-2.219435
50.91333,-2.019435
50.91333,-1.819435
50.91333,-1.619435
50.91333,-1.419435
50.91333,-1.219435
50.91333,-1.019435
50.91333,-0.819435
50.91333,-0.619435
50.91333,-0.419435
50.91333,-0.219435
50.91333,-0.019435
50.91333,0.180565
50.91333,0.380565
50.91333,0.580565
50.91333,0.780565
50.91333,0.980565
50.91333,1.180565
51.11333,-4.819435
51.11333,-4.619435
51.11333,-4.419435
51.11333,-4.219435
51.11333,-4.019435
51.11333,-3.819435
51.11333,-3.619435
51.11333,-3.419435
51.11333,-3.219435
51.11333,-3.019435
51.11333,-2.819435
51.11333,-2.619435
51.11333,-2.419435
51.11333,-2.219435
51.11333,-2.019435
51.11333,-1.819435
51.11333,-1.619435
51.11333,-1.419435
51.11333,-1.219435
51.11333,-1.019435
51.11333,-0.819435
51.11333,-0.619435
51.11333,-0.419435
51.11333,-0.219435
51.11333,-0.019435
51.11333,0.180565
51.11333,0.380565
51.11333,0.580565
51.11333,0.780565
51.11333,0.980565
51.11333,1.180565
51.11333,1.380565
51.11333,1.580565
51.31333,-4.819435
51.31333,-4.619435
51.31333,-4.219435
51.31333,-4.019435
51.31333,-3.819435
51.31333,-3.619435
51.31333,-3.419435
51.31333,-3.219435
51.31333,-3.019435
51.31333,-2.819435
51.31333,-2.619435
51.31333,-2.419435
51.31333,-2.219435
51.31333,-2.019435
51.31333,-1.819435
51.31333,-1.619435
51.31333,-1.419435
51.31333,-1.219435
51.31333,-1.019435
51.31333,-0.819435
51.31333,-0.619435
51.31333,-0.419435
51.31333,-0.219435
51.31333,-0.019435
51.31333,0.180565
51.31333,0.380565
51.31333,0.580565
51.31333,0.780565
51.31333,0.980565
51.31333,1.180565
51.31333,1.380565
51.31333,1.580565
51.51333,-5.019435
51.51333,-4.819435
51.51333,-4.619435
51.51333,-4.419435
51.51333,-4.219435
51.51333,-4.019435
51.51333,-3.819435
51.51333,-3.619435
51.51333,-3.419435
51.51333,-3.219435
51.51333,-3.019435
51.51333,-2.819435
51.51333,-2.619435
51.51333,-2.419435
51.51333,-2.219435
51.51333,-2.019435
51.51333,-1.819435
51.51333,-1.619435
51.51333,-1.419435
51.51333,-1.219435
51.51333,-1.019435
51.51333,-0.819435
51.51333,-0.619435
51.51333,-0.419435
51.51333,-0.219435
51.51333,-0.019435
51.51333,0.180565
51.51333,0.380565
51.51333,0.580565
51.51333,0.780565
51.51333,0.980565
51.51333,1.180565
51.51333,1.380565
51.71333,-5.819435
51.71333,-5.619435
51.71333,-5.419435
51.71333,-5.219435
51.71333,-5.019435
51.71333,-4.819435
51.71333,-4.619435
51.71333,-4.419435
51.71333,-4.219435
51.71333,-4.019435
51.71333,-3.819435
51.71333,-3.619435
51.71333,-3.419435
51.71333,-3.219435
51.71333,-3.019435
51.71333,-2.819435
51.71333,-2.619435
51.71333,-2.419435
51.71333,-2.219435
51.71333,-2.019435
51.71333,-1.819435
51.71333,-1.619435
51.71333,-1.419435
51.71333,-1.219435
51.71333,-1.019435
51.71333,-0.819435
51.71333,-0.619435
51.71333,-0.419435
51.71333,-0.219435
51.71333,-0.019435
51.71333,0.180565
51.71333,0.380565
51.71333,0.580565
51.71333,0.780565
51.71333,0.980565
51.71333,1.180565
51.71333,1.380565
51.91333,-5.619435
51.91333,-5.419435
51.91333,-5.219435
51.91333,-5.019435
51.91333,-4.819435
51.91333,-4.619435
51.91333,-4.419435
51.91333,-4.219435
51.91333,-4.019435
51.91333,-3.819435
51.91333,-3.619435
51.91333,-3.419435
51.91333,-3.219435
51.91333,-3.019435
51.91333,-2.819435
51.91333,-2.619435
51.91333,-2.419435
51.91333,-2.219435
51.91333,-2.019435
51.91333,-1.819435
51.91333,-1.619435
51.91333,-1.419435
51.91333,-1.219435
51.91333,-1.019435
51.91333,-0.819435
51.91333,-0.619435
51.91333,-0.419435
51.91333,-0.219435
51.91333,-0.019435
51.91333,0.180565
51.91333,0.380565
51.91333,0.580565
51.91333,0.780565
51.91333,0.980565
51.91333,1.180565
51.91333,1.380565
51.91333,1.580565
52.11333,-5.219435
52.11333,-5.019435
52.11333,-4.819435
52.11333,-4.619435
52.11333,-4.419435
52.11333,-4.219435
52.11333,-4.019435
52.11333,-3.819435
52.11333,-3.619435
52.11333,-3.419435
52.11333,-3.219435
52.11333,-3.019435
52.11333,-2.819435
52.11333,-2.619435
52.11333,-2.419435
52.11333,-2.219435
52.11333,-2.019435
52.11333,-1.819435
52.11333,-1.619435
52.11333,-1.419435
52.11333,-1.219435
52.11333,-1.019435
52.11333,-0.819435
52.11333,-0.619435
52.11333,-0.419435
52.11333,-0.219435
52.11333,-0.019435
52.11333,0.180565
52.11333,0.380565
52.11333,0.580565
52.11333,0.780565
52.11333,0.980565
52.11333,1.180565
52.11333,1.380565
52.11333,1.580565
52.11333,1.780565
52.31333,-4.419435
52.31333,-4.219435
52.31333,-4.019435
52.31333,-3.819435
52.31333,-3.619435
52.31333,-3.419435
52.31333,-3.219435
52.31333,-3.019435
52.31333,-2.819435
52.31333,-2.619435
52.31333,-2.419435
52.31333,-2.219435
52.31333,-2.019435
52.31333,-1.819435
52.31333,-1.619435
52.31333,-1.419435
52.31333,-1.219435
52.31333,-1.019435
52.31333,-0.819435
52.31333,-0.619435
52.31333,-0.419435
52.31333,-0.219435
52.31333,-0.019435
52.31333,0.180565
52.31333,0.380565
52.31333,0.580565
52.31333,0.780565
52.31333,0.980565
52.31333,1.180565
52.31333,1.380565
52.31333,1.580565
52.31333,1.780565
52.51333,-4.219435
52.51333,-4.019435
52.51333,-3.819435
52.51333,-3.619435
52.51333,-3.419435
52.51333,-3.219435
52.51333,-3.019435
52.51333,-2.819435
52.51333,-2.619435
52.51333,-2.419435
52.51333,-2.219435
52.51333,-2.019435
52.51333,-1.819435
52.51333,-1.619435
52.51333,-1.419435
52.51333,-1.219435
52.51333,-1.019435
52.51333,-0.819435
52.51333,-0.619435
52.51333,-0.419435
52.51333,-0.219435
52.51333,-0.019435
52.51333,0.180565
52.51333,0.380565
52.51333,0.580565
52.51333,0.780565
52.51333,0.980565
52.51333,1.180565
52.51333,1.380565
52.51333,1.580565
52.51333,1.780565
52.51333,1.980565
52.71333,-5.019435
52.71333,-4.819435
52.71333,-4.619435
52.71333,-4.419435
52.71333,-4.219435
52.71333,-4.019435
52.71333,-3.819435
52.71333,-3.619435
52.71333,-3.419435
52.71333,-3.219435
52.71333,-3.019435
52.71333,-2.819435
52.71333,-2.619435
52.71333,-2.419435
52.71333,-2.219435
52.71333,-2.019435
52.71333,-1.819435
52.71333,-1.619435
52.71333,-1.419435
52.71333,-1.219435
52.71333,-1.019435
52.71333,-0.819435
52.71333,-0.619435
52.71333,-0.419435
52.71333,-0.219435
52.71333,-0.019435
52.71333,0.180565
52.71333,0.380565
52.71333,0.580565
52.71333,0.780565
52.71333,0.980565
52.71333,1.180565
52.71333,1.380565
52.71333,1.580565
52.71333,1.780565
52.91333,-4.819435
52.91333,-4.619435
52.91333,-4.419435
52.91333,-4.219435
52.91333,-4.019435
52.91333,-3.819435
52.91333,-3.619435
52.91333,-3.419435
52.91333,-3.219435
52.91333,-3.019435
52.91333,-2.819435
52.91333,-2.619435
52.91333,-2.419435
52.91333,-2.219435
52.91333,-2.019435
52.91333,-1.819435
52.91333,-1.619435
52.91333,-1.419435
52.91333,-1.219435
52.91333,-1.019435
52.91333,-0.819435
52.91333,-0.619435
52.91333,-0.419435
52.91333,-0.219435
52.91333,-0.019435
52.91333,0.180565
52.91333,0.380565
52.91333,0.580565
52.91333,0.780565
52.91333,0.980565
52.91333,1.180565
52.91333,1.380565
52.91333,1.580565
53.11333,-4.619435
53.11333,-4.419435
53.11333,-4.219435
53.11333,-4.019435
53.11333,-3.819435
53.11333,-3.619435
53.11333,-3.419435
53.11333,-3.219435
53.11333,-3.019435
53.11333,-2.819435
53.11333,-2.619435
53.11333,-2.419435
53.11333,-2.219435
53.11333,-2.019435
53.11333,-1.819435
53.11333,-1.619435
53.11333,-1.419435
53.11333,-1.219435
53.11333,-1.019435
53.11333,-0.819435
53.11333,-0.619435
53.11333,-0.419435
53.11333,-0.219435
53.11333,-0.019435
53.11333,0.180565
53.11333,0.380565
53.11333,0.580565
53.11333,0.780565
53.11333,0.980565
53.31333,-4.819435
53.31333,-4.619435
53.31333,-4.419435
53.31333,-4.219435
53.31333,-4.019435
53.31333,-3.819435
53.31333,-3.619435
53.31333,-3.419435
53.31333,-3.219435
53.31333,-3.019435
53.31333,-2.819435
53.31333,-2.619435
53.31333,-2.419435
53.31333,-2.219435
53.31333,-2.019435
53.31333,-1.819435
53.31333,-1.619435
53.31333,-1.419435
53.31333,-1.219435
53.31333,-1.019435
53.31333,-0.819435
53.31333,-0.619435
53.31333,-0.419435
53.31333,-0.219435
53.31333,-0.019435
53.31333,0.180565
53.31333,0.380565
53.51333,-4.619435
53.51333,-4.419435
53.51333,-4.219435
53.51333,-3.419435
53.51333,-3.219435
53.51333,-3.019435
53.51333,-2.819435
53.51333,-2.619435
53.51333,-2.419435
53.51333,-2.219435
53.51333,-2.019435
53.51333,-1.819435
53.51333,-1.619435
53.51333,-1.419435
53.51333,-1.219435
53.51333,-1.019435
53.51333,-0.819435
53.51333,-0.619435
53.51333,-0.419435
53.51333,-0.219435
53.51333,-0.019435
53.51333,0.180565
53.51333,0.380565
53.71333,-3.219435
53.71333,-3.019435
53.71333,-2.819435
53.71333,-2.619435
53.71333,-2.419435
53.71333,-2.219435
53.71333,-2.019435
53.71333,-1.819435
53.71333,-1.619435
53.71333,-1.419435
53.71333,-1.219435
53.71333,-1.019435
53.71333,-0.819435
53.71333,-0.619435
53.71333,-0.419435
53.71333,-0.219435
53.71333,-0.019435
53.71333,0.180565
53.91333,-3.219435
53.91333,-3.019435
53.91333,-2.819435
53.91333,-2.619435
53.91333,-2.419435
53.91333,-2.219435
53.91333,-2.019435
53.91333,-1.819435
53.91333,-1.619435
53.91333,-1.419435
53.91333,-1.219435
53.91333,-1.019435
53.91333,-0.819435
53.91333,-0.619435
53.91333,-0.419435
53.91333,-0.219435
53.91333,-0.019435
54.11333,-3.419435
54.11333,-3.219435
54.11333,-3.019435
54.11333,-2.819435
54.11333,-2.619435
54.11333,-2.419435
54.11333,-2.219435
54.11333,-2.019435
54.11333,-1.819435
54.11333,-1.619435
54.11333,-1.419435
54.11333,-1.219435
54.11333,-1.019435
54.11333,-0.819435
54.11333,-0.619435
54.11333,-0.419435
54.11333,-0.219435
54.11333,-0.019435
54.31333,-3.619435
54.31333,-3.419435
54.31333,-3.219435
54.31333,-3.019435
54.31333,-2.819435
54.31333,-2.619435
54.31333,-2.419435
54.31333,-2.219435
54.31333,-2.019435
54.31333,-1.819435
54.31333,-1.619435
54.31333,-1.419435
54.31333,-1.219435
54.31333,-1.019435
54.31333,-0.819435
54.31333,-0.619435
54.31333,-0.419435
54.31333,-0.219435
54.51333,-5.019435
54.51333,-4.819435
54.51333,-3.819435
54.51333,-3.619435
54.51333,-3.419435
54.51333,-3.219435
54.51333,-3.019435
54.51333,-2.819435
54.51333,-2.619435
54.51333,-2.419435
54.51333,-2.219435
54.51333,-2.019435
54.51333,-1.819435
54.51333,-1.619435
54.51333,-1.419435
54.51333,-1.219435
54.51333,-1.019435
54.51333,-0.819435
54.51333,-0.619435
54.51333,-0.419435
54.71333,-5.219435
54.71333,-5.019435
54.71333,-4.819435
54.71333,-4.619435
54.71333,-4.419435
54.71333,-4.219435
54.71333,-4.019435
54.71333,-3.819435
54.71333,-3.619435
54.71333,-3.419435
54.71333,-3.219435
54.71333,-3.019435
54.71333,-2.819435
54.71333,-2.619435
54.71333,-2.419435
54.71333,-2.219435
54.71333,-2.019435
54.71333,-1.819435
54.71333,-1.619435
54.71333,-1.419435
54.71333,-1.219435
54.71333,-1.019435
54.71333,-0.819435
54.91333,-5.419435
54.91333,-5.219435
54.91333,-5.019435
54.91333,-4.819435
54.91333,-4.619435
54.91333,-4.419435
54.91333,-4.219435
54.91333,-4.019435
54.91333,-3.819435
54.91333,-3.619435
54.91333,-3.419435
54.91333,-3.219435
54.91333,-3.019435
54.91333,-2.819435
54.91333,-2.619435
54.91333,-2.419435
54.91333,-2.219435
54.91333,-2.019435
54.91333,-1.819435
54.91333,-1.619435
54.91333,-1.419435
54.91333,-1.219435
55.11333,-5.219435
55.11333,-5.019435
55.11333,-4.819435
55.11333,-4.619435
55.11333,-4.419435
55.11333,-4.219435
55.11333,-4.019435
55.11333,-3.819435
55.11333,-3.619435
55.11333,-3.419435
55.11333,-3.219435
55.11333,-3.019435
55.11333,-2.819435
55.11333,-2.619435
55.11333,-2.419435
55.11333,-2.219435
55.11333,-2.019435
55.11333,-1.819435
55.11333,-1.619435
55.11333,-1.419435
55.11333,-1.219435
55.31333,-6.019435
55.31333,-5.819435
55.31333,-5.619435
55.31333,-5.419435
55.31333,-5.219435
55.31333,-5.019435
55.31333,-4.819435
55.31333,-4.619435
55.31333,-4.419435
55.31333,-4.219435
55.31333,-4.019435
55.31333,-3.819435
55.31333,-3.619435
55.31333,-3.419435
55.31333,-3.219435
55.31333,-3.019435
55.31333,-2.819435
55.31333,-2.619435
55.31333,-2.419435
55.31333,-2.219435
55.31333,-2.019435
55.31333,-1.819435
55.31333,-1.619435
55.31333,-1.419435
55.51333,-6.419435
55.51333,-6.219435
55.51333,-6.019435
55.51333,-5.819435
55.51333,-5.619435
55.51333,-5.419435
55.51333,-5.219435
55.51333,-5.019435
55.51333,-4.819435
55.51333,-4.619435
55.51333,-4.419435
55.51333,-4.219435
55.51333,-4.019435
55.51333,-3.819435
55.51333,-3.619435
55.51333,-3.419435
55.51333,-3.219435
55.51333,-3.019435
55.51333,-2.819435
55.51333,-2.619435
55.51333,-2.419435
55.51333,-2.219435
55.51333,-2.019435
55.51333,-1.819435
55.51333,-1.619435
55.51333,-1.419435
55.71333,-6.619435
55.71333,-6.419435
55.71333,-6.219435
55.71333,-6.019435
55.71333,-5.819435
55.71333,-5.619435
55.71333,-5.419435
55.71333,-5.219435
55.71333,-5.019435
55.71333,-4.819435
55.71333,-4.619435
55.71333,-4.419435
55.71333,-4.219435
55.71333,-4.019435
55.71333,-3.819435
55.71333,-3.619435
55.71333,-3.419435
55.71333,-3.219435
55.71333,-3.019435
55.71333,-2.819435
55.71333,-2.619435
55.71333,-2.419435
55.71333,-2.219435
55.71333,-2.019435
55.71333,-1.819435
55.71333,-1.619435
55.71333,-1.419435
55.91333,-6.619435
55.91333,-6.419435
55.91333,-6.219435
55.91333,-6.019435
55.91333,-5.819435
55.91333,-5.619435
55.91333,-5.419435
55.91333,-5.219435
55.91333,-5.019435
55.91333,-4.819435
55.91333,-4.619435
55.91333,-4.419435
55.91333,-4.219435
55.91333,-4.019435
55.91333,-3.819435
55.91333,-3.619435
55.91333,-3.419435
55.91333,-3.219435
55.91333,-3.019435
55.91333,-2.819435
55.91333,-2.619435
55.91333,-2.419435
55.91333,-2.219435
55.91333,-2.019435
56.11333,-6.819435
56.11333,-6.619435
56.11333,-6.419435
56.11333,-6.219435
56.11333,-6.019435
56.11333,-5.819435
56.11333,-5.619435
56.11333,-5.419435
56.11333,-5.219435
56.11333,-5.019435
56.11333,-4.819435
56.11333,-4.619435
56.11333,-4.419435
56.11333,-4.219435
56.11333,-4.019435
56.11333,-3.819435
56.11333,-3.619435
56.11333,-3.419435
56.11333,-3.219435
56.11333,-3.019435
56.11333,-2.819435
56.11333,-2.619435
56.11333,-2.419435
56.31333,-7.219435
56.31333,-7.019435
56.31333,-6.819435
56.31333,-6.619435
56.31333,-6.419435
56.31333,-6.219435
56.31333,-6.019435
56.31333,-5.819435
56.31333,-5.619435
56.31333,-5.419435
56.31333,-5.219435
56.31333,-5.019435
56.31333,-4.819435
56.31333,-4.619435
56.31333,-4.419435
56.31333,-4.219435
56.31333,-4.019435
56.31333,-3.819435
56.31333,-3.619435
56.31333,-3.419435
56.31333,-3.219435
56.31333,-3.019435
56.31333,-2.819435
56.31333,-2.619435
56.31333,-2.419435
56.51333,-7.219435
56.51333,-7.019435
56.51333,-6.819435
56.51333,-6.619435
56.51333,-6.419435
56.51333,-6.219435
56.51333,-6.019435
56.51333,-5.819435
56.51333,-5.619435
56.51333,-5.419435
56.51333,-5.219435
56.51333,-5.019435
56.51333,-4.819435
56.51333,-4.619435
56.51333,-4.419435
56.51333,-4.219435
56.51333,-4.019435
56.51333,-3.819435
56.51333,-3.619435
56.51333,-3.419435
56.51333,-3.219435
56.51333,-3.019435
56.51333,-2.819435
56.51333,-2.619435
56.51333,-2.419435
56.71333,-7.819435
56.71333,-7.619435
56.71333,-7.419435
56.71333,-6.819435
56.71333,-6.619435
56.71333,-6.419435
56.71333,-6.219435
56.71333,-6.019435
56.71333,-5.819435
56.71333,-5.619435
56.71333,-5.419435
56.71333,-5.219435
56.71333,-5.019435
56.71333,-4.819435
56.71333,-4.619435
56.71333,-4.419435
56.71333,-4.219435
56.71333,-4.019435
56.71333,-3.819435
56.71333,-3.619435
56.71333,-3.419435
56.71333,-3.219435
56.71333,-3.019435
56.71333,-2.819435
56.71333,-2.619435
56.71333,-2.419435
56.71333,-2.219435
56.91333,-7.819435
56.91333,-7.619435
56.91333,-7.419435
56.91333,-7.219435
56.91333,-6.819435
56.91333,-6.619435
56.91333,-6.419435
56.91333,-6.219435
56.91333,-6.019435
56.91333,-5.819435
56.91333,-5.619435
56.91333,-5.419435
56.91333,-5.219435
56.91333,-5.019435
56.91333,-4.819435
56.91333,-4.619435
56.91333,-4.419435
56.91333,-4.219435
56.91333,-4.019435
56.91333,-3.819435
56.91333,-3.619435
56.91333,-3.419435
56.91333,-3.219435
56.91333,-3.019435
56.91333,-2.819435
56.91333,-2.619435
56.91333,-2.419435
56.91333,-2.219435
56.91333,-2.019435
57.11333,-7.619435
57.11333,-7.419435
57.11333,-7.219435
57.11333,-7.019435
57.11333,-6.819435
57.11333,-6.619435
57.11333,-6.419435
57.11333,-6.219435
57.11333,-6.019435
57.11333,-5.819435
57.11333,-5.619435
57.11333,-5.419435
57.11333,-5.219435
57.11333,-5.019435
57.11333,-4.819435
57.11333,-4.619435
57.11333,-4.419435
57.11333,-4.219435
57.11333,-4.019435
57.11333,-3.819435
57.11333,-3.619435
57.11333,-3.419435
57.11333,-3.219435
57.11333,-3.019435
57.11333,-2.819435
57.11333,-2.619435
57.11333,-2.419435
57.11333,-2.219435
57.11333,-2.019435
57.11333,-1.819435
57.31333,-7.619435
57.31333,-7.419435
57.31333,-7.219435
57.31333,-7.019435
57.31333,-6.819435
57.31333,-6.619435
57.31333,-6.419435
57.31333,-6.219435
57.31333,-6.019435
57.31333,-5.819435
57.31333,-5.619435
57.31333,-5.419435
57.31333,-5.219435
57.31333,-5.019435
57.31333,-4.819435
57.31333,-4.619435
57.31333,-4.419435
57.31333,-4.219435
57.31333,-4.019435
57.31333,-3.819435
57.31333,-3.619435
57.31333,-3.419435
57.31333,-3.219435
57.31333,-3.019435
57.31333,-2.819435
57.31333,-2.619435
57.31333,-2.419435
57.31333,-2.219435
57.31333,-2.019435
57.31333,-1.819435
57.51333,-7.819435
57.51333,-7.619435
57.51333,-7.419435
57.51333,-7.219435
57.51333,-7.019435
57.51333,-6.819435
57.51333,-6.619435
57.51333,-6.419435
57.51333,-6.219435
57.51333,-6.019435
57.51333,-5.819435
57.51333,-5.619435
57.51333,-5.419435
57.51333,-5.219435
57.51333,-5.019435
57.51333,-4.819435
57.51333,-4.619435
57.51333,-4.419435
57.51333,-4.219435
57.51333,-4.019435
57.51333,-3.819435
57.51333,-3.619435
57.51333,-3.419435
57.51333,-3.219435
57.51333,-3.019435
57.51333,-2.819435
57.51333,-2.619435
57.51333,-2.419435
57.51333,-2.219435
57.51333,-2.019435
57.51333,-1.819435
57.51333,-1.619435
57.71333,-8.619435
57.71333,-8.419435
57.71333,-7.819435
57.71333,-7.619435
57.71333,-7.419435
57.71333,-7.219435
57.71333,-7.019435
57.71333,-6.819435
57.71333,-6.619435
57.71333,-6.419435
57.71333,-6.219435
57.71333,-6.019435
57.71333,-5.819435
57.71333,-5.619435
57.71333,-5.419435
57.71333,-5.219435
57.71333,-5.019435
57.71333,-4.819435
57.71333,-4.619435
57.71333,-4.419435
57.71333,-4.219435
57.71333,-4.019435
57.71333,-3.819435
57.71333,-3.619435
57.71333,-3.419435
57.71333,-3.219435
57.71333,-3.019435
57.71333,-2.819435
57.71333,-2.619435
57.71333,-2.419435
57.71333,-2.219435
57.71333,-2.019435
57.71333,-1.819435
57.91333,-8.819435
57.91333,-8.619435
57.91333,-8.419435
57.91333,-7.419435
57.91333,-7.219435
57.91333,-7.019435
57.91333,-6.819435
57.91333,-6.619435
57.91333,-6.419435
57.91333,-6.219435
57.91333,-6.019435
57.91333,-5.819435
57.91333,-5.619435
57.91333,-5.419435
57.91333,-5.219435
57.91333,-5.019435
57.91333,-4.819435
57.91333,-4.619435
57.91333,-4.419435
57.91333,-4.219435
57.91333,-4.019435
57.91333,-3.819435
57.91333,-3.619435
58.11333,-7.419435
58.11333,-7.219435
58.11333,-7.019435
58.11333,-6.819435
58.11333,-6.619435
58.11333,-6.419435
58.11333,-6.219435
58.11333,-6.019435
58.11333,-5.619435
58.11333,-5.419435
58.11333,-5.219435
58.11333,-5.019435
58.11333,-4.819435
58.11333,-4.619435
58.11333,-4.419435
58.11333,-4.219435
58.11333,-4.019435
58.11333,-3.819435
58.11333,-3.619435
58.11333,-3.419435
58.31333,-7.819435
58.31333,-7.619435
58.31333,-7.419435
58.31333,-7.219435
58.31333,-7.019435
58.31333,-6.819435
58.31333,-6.619435
58.31333,-6.419435
58.31333,-6.219435
58.31333,-6.019435
58.31333,-5.619435
58.31333,-5.419435
58.31333,-5.219435
58.31333,-5.019435
58.31333,-4.819435
58.31333,-4.619435
58.31333,-4.419435
58.31333,-4.219435
58.31333,-4.019435
58.31333,-3.819435
58.31333,-3.619435
58.31333,-3.419435
58.31333,-3.219435
58.31333,-3.019435
58.51333,-6.619435
58.51333,-6.419435
58.51333,-6.219435
58.51333,-6.019435
58.51333,-5.219435
58.51333,-5.019435
58.51333,-4.819435
58.51333,-4.619435
58.51333,-4.419435
58.51333,-4.219435
58.51333,-4.019435
58.51333,-3.819435
58.51333,-3.619435
58.51333,-3.419435
58.51333,-3.219435
58.51333,-3.019435
58.51333,-2.819435
58.71333,-5.219435
58.71333,-5.019435
58.71333,-4.819435
58.71333,-4.619435
58.71333,-4.419435
58.71333,-4.019435
58.71333,-3.819435
58.71333,-3.619435
58.71333,-3.419435
58.71333,-3.219435
58.71333,-3.019435
58.71333,-2.819435
58.91333,-4.619435
58.91333,-4.419435
58.91333,-3.619435
58.91333,-3.419435
58.91333,-3.219435
58.91333,-3.019435
58.91333,-2.819435
58.91333,-2.619435
58.91333,-2.419435
59.11333,-6.419435
59.11333,-6.219435
59.11333,-6.019435
59.11333,-5.819435
59.11333,-5.619435
59.11333,-4.619435
59.11333,-4.419435
59.11333,-4.219435
59.11333,-3.619435
59.11333,-3.419435
59.11333,-3.219435
59.11333,-3.019435
59.11333,-2.819435
59.11333,-2.619435
59.11333,-2.419435
59.31333,-3.219435
59.31333,-3.019435
59.31333,-2.819435
59.31333,-2.619435
59.31333,-2.419435
59.31333,-2.219435
